iter	Passed	Remaining
0	108	108625
1	116	57904
2	121	40308
3	126	31582
4	132	26343
5	137	22719
6	140	19890
7	144	17870
8	146	16155
9	150	14851
10	151	13661
11	154	12761
12	157	11942
13	159	11232
14	162	10642
15	164	10107
16	166	9642
17	169	9246
18	171	8872
19	175	8587
20	177	8291
21	180	8012
22	182	7751
23	184	7497
24	186	7257
25	188	7067
26	190	6857
27	192	6665
28	194	6524
29	196	6368
30	198	6209
31	202	6120
32	204	5985
33	206	5870
34	209	5777
35	211	5659
36	214	5574
37	216	5469
38	217	5361
39	219	5276
40	221	5190
41	224	5109
42	226	5043
43	228	4971
44	231	4913
45	233	4847
46	235	4781
47	237	4714
48	240	4664
49	242	4605
50	244	4546
51	248	4533
52	250	4478
53	253	4446
54	255	4398
55	258	4351
56	260	4310
57	262	4265
58	265	4240
59	268	4203
60	270	4168
61	273	4130
62	275	4090
63	277	4054
64	279	4018
65	281	3982
66	283	3952
67	285	3917
68	288	3897
69	291	3869
70	293	3841
71	295	3806
72	297	3777
73	299	3748
74	301	3716
75	303	3688
76	305	3656
77	306	3624
78	308	3593
79	310	3567
80	311	3539
81	313	3512
82	315	3484
83	317	3461
84	319	3434
85	321	3414
86	323	3399
87	325	3373
88	327	3348
89	329	3330
90	331	3308
91	332	3283
92	334	3261
93	336	3240
94	338	3220
95	339	3200
96	341	3182
97	343	3162
98	345	3142
99	346	3121
100	349	3109
101	351	3091
102	352	3073
103	354	3056
104	357	3043
105	358	3025
106	360	3006
107	361	2989
108	363	2971
109	365	2953
110	366	2936
111	368	2924
112	370	2907
113	371	2891
114	373	2875
115	375	2861
116	377	2845
117	378	2831
118	380	2816
119	382	2803
120	383	2788
121	385	2773
122	388	2767
123	390	2756
124	391	2742
125	393	2728
126	395	2716
127	396	2703
128	398	2690
129	400	2677
130	401	2666
131	403	2653
132	405	2640
133	407	2631
134	409	2621
135	410	2608
136	412	2597
137	414	2587
138	416	2579
139	417	2567
140	419	2555
141	421	2548
142	423	2538
143	425	2529
144	427	2520
145	429	2510
146	430	2500
147	432	2489
148	434	2483
149	436	2474
150	438	2465
151	440	2457
152	442	2447
153	443	2438
154	445	2428
155	447	2419
156	448	2410
157	450	2401
158	452	2391
159	454	2384
160	455	2376
161	457	2366
162	459	2357
163	460	2349
164	462	2340
165	464	2334
166	466	2325
167	468	2317
168	469	2309
169	471	2300
170	473	2294
171	474	2286
172	476	2277
173	478	2269
174	479	2261
175	481	2255
176	483	2247
177	484	2239
178	486	2232
179	488	2224
180	489	2215
181	491	2209
182	493	2203
183	495	2195
184	496	2187
185	498	2180
186	500	2173
187	501	2166
188	503	2159
189	504	2152
190	506	2145
191	508	2138
192	509	2131
193	511	2125
194	513	2119
195	514	2112
196	516	2105
197	518	2098
198	520	2093
199	521	2087
200	523	2080
201	524	2073
202	526	2068
203	528	2061
204	530	2055
205	531	2049
206	533	2044
207	535	2038
208	536	2031
209	538	2025
210	540	2020
211	542	2015
212	544	2010
213	545	2003
214	547	1998
215	549	1992
216	550	1987
217	552	1982
218	554	1977
219	556	1971
220	557	1966
221	560	1963
222	561	1957
223	563	1952
224	565	1947
225	567	1942
226	568	1936
227	570	1930
228	571	1925
229	573	1920
230	575	1914
231	576	1909
232	578	1904
233	580	1899
234	581	1893
235	583	1888
236	585	1883
237	587	1881
238	590	1878
239	591	1874
240	593	1869
241	595	1864
242	596	1859
243	598	1854
244	600	1849
245	601	1844
246	603	1839
247	605	1835
248	607	1831
249	609	1827
250	610	1822
251	612	1819
252	614	1814
253	616	1809
254	617	1805
255	619	1800
256	621	1795
257	622	1791
258	624	1787
259	626	1782
260	627	1778
261	629	1773
262	631	1769
263	633	1765
264	635	1761
265	636	1757
266	638	1753
267	640	1748
268	641	1744
269	643	1740
270	645	1737
271	647	1732
272	649	1728
273	651	1726
274	653	1722
275	654	1717
276	656	1713
277	658	1710
278	659	1705
279	661	1700
280	663	1696
281	665	1693
282	666	1689
283	668	1685
284	670	1681
285	672	1677
286	673	1673
287	675	1669
288	677	1665
289	678	1662
290	680	1657
291	682	1654
292	684	1650
293	685	1646
294	687	1642
295	689	1638
296	690	1635
297	692	1631
298	694	1627
299	696	1624
300	698	1621
301	700	1618
302	702	1615
303	704	1611
304	705	1608
305	707	1604
306	709	1600
307	711	1598
308	712	1594
309	714	1590
310	715	1586
311	720	1589
312	722	1585
313	724	1582
314	725	1578
315	727	1574
316	729	1571
317	731	1568
318	732	1564
319	734	1560
320	735	1556
321	737	1553
322	739	1550
323	741	1547
324	743	1544
325	745	1540
326	747	1537
327	748	1534
328	750	1531
329	752	1527
330	754	1524
331	755	1520
332	757	1517
333	759	1514
334	760	1510
335	762	1506
336	764	1503
337	766	1500
338	767	1496
339	769	1493
340	771	1490
341	772	1486
342	774	1482
343	775	1479
344	777	1476
345	779	1472
346	780	1469
347	782	1466
348	784	1462
349	786	1461
350	788	1458
351	790	1455
352	792	1452
353	793	1448
354	796	1447
355	798	1445
356	800	1441
357	802	1438
358	804	1436
359	805	1432
360	807	1429
361	809	1426
362	811	1423
363	812	1420
364	814	1417
365	816	1414
366	818	1411
367	819	1407
368	821	1404
369	823	1402
370	825	1399
371	828	1398
372	830	1395
373	832	1393
374	834	1390
375	836	1388
376	838	1385
377	839	1381
378	841	1378
379	843	1376
380	845	1373
381	846	1369
382	848	1366
383	850	1364
384	852	1361
385	854	1358
386	856	1356
387	858	1354
388	860	1351
389	862	1348
390	863	1345
391	865	1342
392	867	1339
393	868	1336
394	870	1333
395	872	1330
396	873	1327
397	875	1324
398	877	1321
399	878	1318
400	880	1315
401	882	1312
402	883	1309
403	885	1306
404	887	1303
405	888	1300
406	890	1297
407	892	1294
408	893	1291
409	895	1289
410	897	1285
411	899	1283
412	900	1280
413	902	1277
414	904	1274
415	905	1271
416	907	1268
417	909	1266
418	911	1263
419	912	1260
420	914	1257
421	916	1254
422	917	1251
423	919	1248
424	921	1246
425	922	1243
426	924	1240
427	926	1237
428	928	1235
429	929	1232
430	931	1229
431	933	1226
432	934	1224
433	936	1221
434	938	1218
435	939	1215
436	941	1213
437	943	1210
438	945	1208
439	947	1205
440	949	1203
441	950	1200
442	952	1197
443	954	1195
444	956	1192
445	957	1189
446	959	1187
447	961	1184
448	962	1181
449	964	1178
450	966	1176
451	968	1174
452	970	1171
453	971	1168
454	973	1165
455	975	1163
456	976	1160
457	978	1157
458	980	1155
459	982	1153
460	984	1150
461	986	1148
462	988	1146
463	989	1143
464	991	1140
465	992	1137
466	995	1135
467	996	1133
468	998	1130
469	1000	1128
470	1002	1126
471	1004	1123
472	1005	1120
473	1007	1118
474	1009	1115
475	1011	1113
476	1013	1111
477	1015	1108
478	1016	1106
479	1018	1103
480	1020	1100
481	1021	1098
482	1023	1095
483	1025	1092
484	1026	1090
485	1028	1087
486	1030	1085
487	1031	1082
488	1033	1080
489	1035	1077
490	1036	1074
491	1038	1072
492	1040	1070
493	1042	1067
494	1044	1065
495	1046	1062
496	1047	1060
497	1049	1058
498	1052	1056
499	1054	1054
500	1056	1052
501	1058	1049
502	1059	1047
503	1061	1044
504	1063	1042
505	1064	1039
506	1066	1037
507	1068	1034
508	1070	1032
509	1071	1029
510	1073	1027
511	1075	1025
512	1076	1022
513	1078	1019
514	1080	1017
515	1082	1015
516	1084	1013
517	1086	1010
518	1087	1008
519	1089	1005
520	1091	1003
521	1093	1001
522	1094	998
523	1096	996
524	1098	993
525	1101	992
526	1102	989
527	1104	987
528	1106	984
529	1108	982
530	1109	980
531	1111	977
532	1113	975
533	1114	972
534	1116	970
535	1118	968
536	1120	965
537	1121	963
538	1123	961
539	1125	958
540	1127	956
541	1128	953
542	1130	951
543	1132	948
544	1134	946
545	1135	944
546	1137	941
547	1138	939
548	1140	937
549	1142	934
550	1143	932
551	1145	929
552	1147	927
553	1149	925
554	1151	923
555	1153	920
556	1154	918
557	1156	916
558	1158	914
559	1160	911
560	1162	909
561	1163	906
562	1165	905
563	1167	902
564	1169	900
565	1170	897
566	1172	895
567	1174	893
568	1176	891
569	1178	889
570	1180	886
571	1181	884
572	1183	881
573	1185	879
